# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 364K of event 'cpu/cycles/P'
# Event count (approx.): 245777062108
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  .......................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] xhci_ring_ep_doorbell
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] dl_server_update
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] native_sched_clock
     0.01%  point_cloud_col  point_cloud_collimation  [.] main
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] __alloc_frozen_pages_noprof
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] ktime_get
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] update_wall_time
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] lapic_next_deadline
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] cpuacct_account_field
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] arch_scale_freq_tick
     0.01%  point_cloud_col  point_cloud_collimation  [.] std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] notifier_call_chain
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] mod_memcg_lruvec_state
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] native_read_msr
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] x86_pmu_disable
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] __i915_vma_retire
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] calc_global_load
     0.01%  point_cloud_col  libm.so.6                [.] __sin_fma
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] tmigr_requires_handle_remote
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] mas_walk
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] __rmqueue_pcplist
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] zap_present_ptes.constprop.0
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] __hrtimer_next_event_base
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] tick_nohz_handler
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] update_vdso_time_data
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __rcu_read_unlock
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] count_memcg_events
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] raw_notifier_call_chain
     0.00%  point_cloud_col  point_cloud_collimation  [.] std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] handle_softirqs
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __css_rstat_updated
     0.00%  point_cloud_col  libm.so.6                [.] __ieee754_exp_fma
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] sched_balance_trigger
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] do_anonymous_page
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __handle_mm_fault
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] update_process_times
