region,iteration,milliseconds
profile_metrics,5,444.968781
nearest_neighbor_search,6,218.578229
estimate_transform,6,0.433236
grid_index_construction,6,4.566266
profile_metrics,6,445.064219
nearest_neighbor_search,7,238.635850
estimate_transform,7,0.512916
grid_index_construction,7,6.765019
profile_metrics,7,511.232705
nearest_neighbor_search,8,214.677012
estimate_transform,8,0.480500
grid_index_construction,8,4.655192
profile_metrics,8,424.608950
nearest_neighbor_search,9,208.297371
estimate_transform,9,0.467350
grid_index_construction,9,4.744732
profile_metrics,9,418.947893
nearest_neighbor_search,10,205.338516
estimate_transform,10,0.516397
grid_index_construction,10,4.644609
profile_metrics,10,411.212450
nearest_neighbor_search,11,201.579123
estimate_transform,11,0.457010
grid_index_construction,11,4.801620
profile_metrics,11,416.567243
nearest_neighbor_search,12,207.822298
estimate_transform,12,0.519288
grid_index_construction,12,4.648355
profile_metrics,12,406.641405
nearest_neighbor_search,13,202.303641
estimate_transform,13,0.411153
grid_index_construction,13,4.729368
profile_metrics,13,393.562309
nearest_neighbor_search,14,198.598471
estimate_transform,14,0.399631
grid_index_construction,14,4.807888
profile_metrics,14,392.114458
nearest_neighbor_search,15,195.378700
estimate_transform,15,0.422475
grid_index_construction,15,4.920403
profile_metrics,15,380.195651
nearest_neighbor_search,16,196.229973
estimate_transform,16,0.503808
grid_index_construction,16,5.174954
profile_metrics,16,379.867056
nearest_neighbor_search,17,192.173593
estimate_transform,17,0.419694
grid_index_construction,17,4.738723
profile_metrics,17,377.369115
nearest_neighbor_search,18,190.631610
estimate_transform,18,0.417604
grid_index_construction,18,4.643564
profile_metrics,18,376.033091
nearest_neighbor_search,19,191.397633
estimate_transform,19,0.476088
grid_index_construction,19,4.607317
profile_metrics,19,375.145204
nearest_neighbor_search,20,191.421362
estimate_transform,20,0.441022
grid_index_construction,20,4.684157
profile_metrics,20,379.222116
nearest_neighbor_search,21,194.186138
estimate_transform,21,0.454464
grid_index_construction,21,4.572875
profile_metrics,21,384.496902
nearest_neighbor_search,22,199.091697
estimate_transform,22,0.438488
grid_index_construction,22,4.785428
profile_metrics,22,388.245740
nearest_neighbor_search,23,208.562344
estimate_transform,23,0.582332
grid_index_construction,23,4.589756
profile_metrics,23,391.233273
nearest_neighbor_search,24,206.328867
estimate_transform,24,0.503305
grid_index_construction,24,4.755538
profile_metrics,24,402.459292
nearest_neighbor_search,25,213.128761
estimate_transform,25,0.444944
grid_index_construction,25,4.517297
profile_metrics,25,406.593707
nearest_neighbor_search,26,214.640269
estimate_transform,26,0.543231
grid_index_construction,26,4.557021
profile_metrics,26,403.745865
nearest_neighbor_search,27,214.059412
estimate_transform,27,0.432783
grid_index_construction,27,4.558308
profile_metrics,27,425.052922
nearest_neighbor_search,28,216.375751
estimate_transform,28,0.937708
grid_index_construction,28,4.402722
profile_metrics,28,418.689923
nearest_neighbor_search,29,217.753318
estimate_transform,29,0.672645
grid_index_construction,29,4.486171
profile_metrics,29,418.594556
nearest_neighbor_search,30,218.709759
estimate_transform,30,0.455175
grid_index_construction,30,4.610020
profile_metrics,30,418.763783
nearest_neighbor_search,31,214.898636
estimate_transform,31,0.706516
grid_index_construction,31,4.547867
profile_metrics,31,421.636118
nearest_neighbor_search,32,210.439034
estimate_transform,32,0.463134
grid_index_construction,32,4.602841
profile_metrics,32,418.183848
nearest_neighbor_search,33,211.392815
estimate_transform,33,0.595432
grid_index_construction,33,4.704746
profile_metrics,33,418.058056
nearest_neighbor_search,34,211.772337
estimate_transform,34,0.472940
grid_index_construction,34,4.656813
profile_metrics,34,453.670429
nearest_neighbor_search,35,220.844470
estimate_transform,35,0.483405
grid_index_construction,35,4.649067
profile_metrics,35,454.822227
nearest_neighbor_search,36,221.226366
estimate_transform,36,0.499954
grid_index_construction,36,4.616094
profile_metrics,36,442.810988
nearest_neighbor_search,37,220.907393
estimate_transform,37,0.496509
grid_index_construction,37,4.641279
profile_metrics,37,455.338873
nearest_neighbor_search,38,223.962439
estimate_transform,38,0.502041
grid_index_construction,38,4.590688
profile_metrics,38,457.780028
nearest_neighbor_search,39,224.275822
estimate_transform,39,0.462286
grid_index_construction,39,4.833947
profile_metrics,39,465.553891
nearest_neighbor_search,40,232.061338
estimate_transform,40,0.455064
grid_index_construction,40,4.850280
profile_metrics,40,457.838339
nearest_neighbor_search,41,220.946807
estimate_transform,41,0.472654
grid_index_construction,41,4.769893
profile_metrics,41,463.811100
nearest_neighbor_search,42,222.672209
estimate_transform,42,0.475212
grid_index_construction,42,5.021657
profile_metrics,42,454.392352
nearest_neighbor_search,43,221.979649
estimate_transform,43,0.458466
grid_index_construction,43,4.801030
profile_metrics,43,454.603244
